CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
2572      0.1419  121       0.1454  53        0.1227  vmlinux                  write_cache_pages
2567      0.1417  116       0.1394  49        0.1134  vmlinux                  compat_sys_socketcall
2552      0.1408  105       0.1262  62        0.1435  libjvm.so                JVM_FillInStackTrace
2533      0.1398  98        0.1177  50        0.1157  vmlinux                  init_exit__sgetmask
2528      0.1395  101       0.1213  40        0.0926  libjvm.so                JavaThread::check_and_handle_async_exceptions(bool)
2528      0.1395  113       0.1358  56        0.1296  vmlinux                  do_sigaction
2521      0.1391  150       0.1802  48        0.1111  vmlinux                  fn_hash_insert
2500      0.1380  101       0.1213  66        0.1527  vmlinux                  __xfrm_lookup
2481      0.1369  98        0.1177  59        0.1365  vmlinux                  __find_get_block_slow
2445      0.1349  98        0.1177  71        0.1643  libjvm.so                BacktraceBuilder::expand(Thread*)
2439      0.1346  110       0.1322  48        0.1111  libjvm.so                ObjectMonitor::exit(bool, Thread*)
2429      0.1340  196       0.2355  33        0.0764  libjvm.so                PhaseIdealLoop::build_loop_late(VectorSet&, Node_List&, Node_Stack&)
2425      0.1338  121       0.1454  65        0.1504  libjvm.so                nmethod::get_deopt_original_pc(frame const*)
2412      0.1331  134       0.1610  62        0.1435  libjvm.so                PcDescCache::find_pc_desc(int, bool)
2403      0.1326  105       0.1262  42        0.0972  vmlinux                  setxattr
2379      0.1313  124       0.1490  63        0.1458  vmlinux                  xfrm_output_resume
2356      0.1300  100       0.1201  40        0.0926  libpthread-2.12.so       pthread_cond_timedwait@@GLIBC_2.3.2
2326      0.1284  82        0.0985  56        0.1296  vmlinux                  do_group_exit
2301      0.1270  103       0.1237  58        0.1342  vmlinux                  compat_copy_strings
2273      0.1254  95        0.1141  41        0.0949  libjvm.so                JNIHandleBlock::allocate_handle(oopDesc*)
2254      0.1244  118       0.1418  51        0.1180  libjvm.so                ObjectMonitor::ExitEpilog(Thread*, ObjectWaiter*)
2250      0.1242  112       0.1346  50        0.1157  libjvm.so                nmethod::is_nmethod() const
2238      0.1235  91        0.1093  43        0.0995  libjvm.so                ObjectSynchronizer::FastHashCode(Thread*, oopDesc*)
2225      0.1228  75        0.0901  42        0.0972  libc-2.12.so             epoll_ctl
2225      0.1228  113       0.1358  53        0.1227  libjvm.so                CompressedReadStream::read_int_mb(int)
2225      0.1228  82        0.0985  40        0.0926  vmlinux                  ll_rw_block
2220      0.1225  86        0.1033  40        0.0926  vmlinux                  xfrm_policy_timer
2204      0.1216  83        0.0997  51        0.1180  vmlinux                  rt_mutex_start_proxy_lock
2200      0.1214  85        0.1021  53        0.1227  vmlinux                  __d_path
2185      0.1206  87        0.1045  49        0.1134  vmlinux                  fpregs_set
2179      0.1202  90        0.1081  46        0.1065  vmlinux                  fib_validate_source
2142      0.1182  99        0.1189  45        0.1041  vmlinux                  sysret_check
2140      0.1181  69        0.0829  54        0.1250  libpthread-2.12.so       __pthread_disable_asynccancel
2128      0.1174  83        0.0997  43        0.0995  vmlinux                  d_hash_and_lookup
2122      0.1171  91        0.1093  58        0.1342  libjvm.so                OptoRuntime::handle_exception_C_helper(JavaThread*, nmethod*&)
2114      0.1167  136       0.1634  41        0.0949  vmlinux                  pcie_set_clkpm
2114      0.1167  151       0.1814  40        0.0926  vmlinux                  vmtruncate_range
2113      0.1166  66        0.0793  53        0.1227  vmlinux                  submit
2111      0.1165  90        0.1081  51        0.1180  vmlinux                  ping_seq_show
2097      0.1157  77        0.0925  37        0.0856  vmlinux                  d_alloc_name
2094      0.1156  84        0.1009  46        0.1065  vmlinux                  tracesys
2093      0.1155  98        0.1177  38        0.0879  vmlinux                  pci_scan_bridge
2090      0.1153  88        0.1057  37        0.0856  libnio.so                Java_sun_nio_ch_EPollArrayWrapper_epollWait
2079      0.1147  90        0.1081  38        0.0879  libpthread-2.12.so       __write_nocancel
2077      0.1146  96        0.1153  44        0.1018  libjvm.so                JNIHandles::make_local(JNIEnv_*, oopDesc*)
2059      0.1136  96        0.1153  41        0.0949  vmlinux                  shrink_dcache_for_umount
2058      0.1136  152       0.1826  33        0.0764  libjvm.so                RegMask::Size() const
2043      0.1127  75        0.0901  37        0.0856  vmlinux                  clockevents_notify
2039      0.1125  85        0.1021  56        0.1296  vmlinux                  ipmr_queue_xmit
2030      0.1120  106       0.1274  44        0.1018  vmlinux                  tc_dump_qdisc_root
1972      0.1088  97        0.1165  42        0.0972  vmlinux                  fixup_pi_state_owner
1951      0.1077  80        0.0961  37        0.0856  vmlinux                  do_sync_read
1933      0.1067  136       0.1634  296       0.6850  libjvm.so                nmethod::oops_do(OopClosure*, bool)
1931      0.1066  90        0.1081  56        0.1296  vmlinux                  sys_chown
1928      0.1064  94        0.1129  45        0.1041  vmlinux                  compat_sys_select
1921      0.1060  73        0.0877  35        0.0810  vmlinux                  tc_fill_qdisc
1912      0.1055  122       0.1466  39        0.0903  vmlinux                  vfs_write
1909      0.1053  71        0.0853  34        0.0787  vmlinux                  do_setitimer
1906      0.1052  84        0.1009  30        0.0694  vmlinux                  register_ftrace_command
1901      0.1049  97        0.1165  48        0.1111  libjvm.so                java_lang_Throwable::set_backtrace(oopDesc*, oopDesc*)
1899      0.1048  57        0.0685  33        0.0764  vmlinux                  xfrm_policy_lookup_bytype
1871      0.1033  95        0.1141  44        0.1018  vmlinux                  ip_rt_ioctl
1866      0.1030  88        0.1057  42        0.0972  vmlinux                  pciehp_unconfigure_device
1856      0.1024  73        0.0877  39        0.0903  vmlinux                  sysret_signal
1841      0.1016  53        0.0637  29        0.0671  vmlinux                  generic_acl_init
1840      0.1015  20        0.0240  53        0.1227  libjvm.so                Arena::contains(void const*) const
