CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
7        3.9e-04  0              0  0              0  libjvm.so                ClassLoaderData::metaspace_non_null()
7        3.9e-04  0              0  0              0  libjvm.so                CmpUNode::sub(Type const*, Type const*) const
7        3.9e-04  1         0.0012  0              0  libjvm.so                CodeCache::allocate(int, bool)
7        3.9e-04  0              0  0              0  libjvm.so                CodeSection::expand_locs(int)
7        3.9e-04  0              0  0              0  libjvm.so                CommandLineFlagsEx::is_default(CommandLineFlag)
7        3.9e-04  0              0  0              0  libjvm.so                Compilation::add_exception_handlers_for_pco(int, XHandlers*)
7        3.9e-04  0              0  1         0.0023  libjvm.so                CompileTask::initialize(int, methodHandle, int, int, methodHandle, int, char const*, bool)
7        3.9e-04  1         0.0012  0              0  libjvm.so                CompiledIC::internal_set_ic_destination(unsigned char*, bool, void*, bool)
7        3.9e-04  2         0.0024  0              0  libjvm.so                ConnectionGraph::add_final_edges(Node*)
7        3.9e-04  0              0  0              0  libjvm.so                ConstMethod::exception_table_length_addr() const
7        3.9e-04  0              0  0              0  libjvm.so                Dependencies::copy_to(nmethod*)
7        3.9e-04  1         0.0012  0              0  libjvm.so                EncodePNode::Value(PhaseTransform*) const
7        3.9e-04  0              0  0              0  libjvm.so                FieldType::is_valid_array_signature(Symbol*)
7        3.9e-04  0              0  0              0  libjvm.so                GCNotifier::has_event()
7        3.9e-04  0              0  0              0  libjvm.so                GenerateOopMap::interp1(BytecodeStream*)
7        3.9e-04  0              0  0              0  libjvm.so                GraphBuilder::arithmetic_op(ValueType*, Bytecodes::Code, ValueStack*)
7        3.9e-04  0              0  0              0  libjvm.so                GraphBuilder::profile_calls()
7        3.9e-04  0              0  0              0  libjvm.so                GraphBuilder::stack_op(Bytecodes::Code)
7        3.9e-04  0              0  0              0  libjvm.so                GraphKit::basic_plus_adr(Node*, Node*, Node*)
7        3.9e-04  0              0  0              0  libjvm.so                GraphKit::make_exception_state(Node*)
7        3.9e-04  0              0  0              0  libjvm.so                GraphKit::make_slow_call_ex(Node*, ciInstanceKlass*, bool, bool)
7        3.9e-04  0              0  1         0.0023  libjvm.so                IdealKit::IdealKit(GraphKit*, bool, bool)
7        3.9e-04  0              0  1         0.0023  libjvm.so                InlineCallGenerator::is_inline() const
7        3.9e-04  0              0  0              0  libjvm.so                InstanceKlass::find_instance_method(Symbol*, Symbol*)
7        3.9e-04  1         0.0012  0              0  libjvm.so                InstanceKlass::find_local_field_from_offset(int, bool, fieldDescriptor*) const
7        3.9e-04  0              0  0              0  libjvm.so                JNIHandleBlock::release_block(JNIHandleBlock*, Thread*)
7        3.9e-04  1         0.0012  0              0  libjvm.so                JVMState::clone_deep(Compile*) const
7        3.9e-04  0              0  0              0  libjvm.so                JVM_Sleep
7        3.9e-04  2         0.0024  0              0  libjvm.so                JavaCalls::call_helper(JavaValue*, methodHandle*, JavaCallArguments*, Thread*)
7        3.9e-04  0              0  0              0  libjvm.so                JumpData::cell_count() const
7        3.9e-04  0              0  0              0  libjvm.so                JumpProjNode::cmp(Node const&) const
7        3.9e-04  0              0  0              0  libjvm.so                JvmtiEnv::Deallocate(unsigned char*)
7        3.9e-04  0              0  0              0  libjvm.so                JvmtiEnv::GetMethodName(Method*, char**, char**, char**)
7        3.9e-04  0              0  0              0  libjvm.so                JvmtiEnvBase::is_valid()
7        3.9e-04  7         0.0084  14        0.0324  libjvm.so                Klass::oop_oop_iterate_nv(oopDesc*, FastScanClosure*)
7        3.9e-04  0              0  0              0  libjvm.so                LIRGenerator::do_NewInstance(NewInstance*)
7        3.9e-04  0              0  0              0  libjvm.so                LIRGenerator::result_register_for(ValueType*, bool)
7        3.9e-04  0              0  0              0  libjvm.so                LIRGenerator::rlock_result(Instruction*)
7        3.9e-04  0              0  0              0  libjvm.so                LIR_Assembler::emit_opBranch(LIR_OpBranch*)
7        3.9e-04  0              0  0              0  libjvm.so                LIR_Assembler::emit_opTypeCheck(LIR_OpTypeCheck*)
7        3.9e-04  1         0.0012  0              0  libjvm.so                LIR_Assembler::emit_static_call_stub()
7        3.9e-04  0              0  0              0  libjvm.so                LIR_Assembler::emit_typecheck_helper(LIR_OpTypeCheck*, Label*, Label*, Label*)
7        3.9e-04  0              0  1         0.0023  libjvm.so                LIR_Const::type() const
7        3.9e-04  0              0  0              0  libjvm.so                LIR_List::unsigned_shift_right(LIR_OprDesc*, LIR_OprDesc*, LIR_OprDesc*, LIR_OprDesc*)
7        3.9e-04  0              0  0              0  libjvm.so                LIR_OprDesc::as_register_lo() const
7        3.9e-04  0              0  1         0.0023  libjvm.so                LShiftLNode::bottom_type() const
7        3.9e-04  0              0  0              0  libjvm.so                LibraryIntrinsic::generate(JVMState*)
7        3.9e-04  0              0  0              0  libjvm.so                LinearScan::do_linear_scan()
7        3.9e-04  0              0  0              0  libjvm.so                LinearScan::is_virtual_cpu_interval(Interval const*)
7        3.9e-04  0              0  0              0  libjvm.so                LoadINode::memory_type() const
7        3.9e-04  1         0.0012  0              0  libjvm.so                LoopNode::is_valid_counted_loop() const
7        3.9e-04  0              0  0              0  libjvm.so                MachNode::reloc() const
7        3.9e-04  0              0  0              0  libjvm.so                MachSpillCopyNode::MachSpillCopyNode(Node*, RegMask const&, RegMask const&)
7        3.9e-04  0              0  0              0  libjvm.so                MacroAssembler::MacroAssembler(CodeBuffer*)
7        3.9e-04  0              0  0              0  libjvm.so                MacroAssembler::bang_stack_with_offset(int)
7        3.9e-04  0              0  1         0.0023  libjvm.so                MacroAssembler::jump_cc(Assembler::Condition, AddressLiteral)
7        3.9e-04  0              0  0              0  libjvm.so                MemBarNode::match_edge(unsigned int) const
7        3.9e-04  0              0  0              0  libjvm.so                Method::load_signature_classes(methodHandle, Thread*)
7        3.9e-04  0              0  0              0  libjvm.so                Method::mask_for(int, InterpreterOopMap*)
7        3.9e-04  0              0  0              0  libjvm.so                Node::replace_edges_in_range(Node*, Node*, int, int)
7        3.9e-04  0              0  0              0  libjvm.so                NodeHash::hash_insert(Node*)
7        3.9e-04  0              0  0              0  libjvm.so                OopMap::deep_copy()
7        3.9e-04  0              0  0              0  libjvm.so                Parse::call_register_finalizer()
7        3.9e-04  1         0.0012  0              0  libjvm.so                PhaseBlockLayout::union_traces(Trace*, Trace*)
7        3.9e-04  0              0  0              0  libjvm.so                PhaseCFG::do_global_code_motion()
7        3.9e-04  0              0  1         0.0023  libjvm.so                PhaseIdealLoop::partial_peel(IdealLoopTree*, Node_List&)
7        3.9e-04  0              0  0              0  libjvm.so                PhaseIterGVN::operator=(PhaseIterGVN const&)
7        3.9e-04  0              0  0              0  libjvm.so                PhaseMacroExpand::eliminate_macro_nodes()
7        3.9e-04  1         0.0012  0              0  libjvm.so                PhasePeephole::PhasePeephole(PhaseRegAlloc*, PhaseCFG&)
7        3.9e-04  0              0  0              0  libjvm.so                PhaseTransform::find_int_type(Node*)
7        3.9e-04  0              0  0              0  libjvm.so                PhiNode::slice_memory(TypePtr const*) const
7        3.9e-04  0              0  0              0  libjvm.so                PreserveJVMState::PreserveJVMState(GraphKit*, bool)
7        3.9e-04  1         0.0012  0              0  libjvm.so                ProfileData::is_VirtualCallTypeData() const
7        3.9e-04  1         0.0012  1         0.0023  libjvm.so                RegMask::is_misaligned_pair() const
7        3.9e-04  0              0  0              0  libjvm.so                RetNode::ideal_Opcode() const
7        3.9e-04  0              0  0              0  libjvm.so                SharedRuntime::resolve_static_call_C(JavaThread*)
7        3.9e-04  0              0  1         0.0023  libjvm.so                ShouldNotReachHereNode::emit(CodeBuffer&, PhaseRegAlloc*) const
7        3.9e-04  0              0  0              0  libjvm.so                SignatureIterator::expect(char)
7        3.9e-04  0              0  0              0  libjvm.so                State::_sub_Op_LShiftI(Node const*)
7        3.9e-04  0              0  2         0.0046  libjvm.so                StorePNode::Opcode() const
7        3.9e-04  0              0  0              0  libjvm.so                Symbol::as_C_string_flexible_buffer(Thread*, char*, int) const
7        3.9e-04  0              0  0              0  libjvm.so                ThreadLocalAllocBuffer::accumulate_statistics()
7        3.9e-04  0              0  0              0  libjvm.so                TypeArrayKlass::copy_array(arrayOopDesc*, int, arrayOopDesc*, int, int, Thread*)
7        3.9e-04  0              0  0              0  libjvm.so                TypeAry::empty() const
7        3.9e-04  0              0  0              0  libjvm.so                TypeAry::xmeet(Type const*) const
7        3.9e-04  0              0  0              0  libjvm.so                TypeFunc::eq(Type const*) const
7        3.9e-04  0              0  0              0  libjvm.so                TypeFunc::xdual() const
7        3.9e-04  1         0.0012  0              0  libjvm.so                TypeInt::get_con() const
7        3.9e-04  0              0  0              0  libjvm.so                TypeInt::is_con() const
7        3.9e-04  0              0  0              0  libjvm.so                TypeInt::narrow(Type const*) const
7        3.9e-04  0              0  0              0  libjvm.so                ciBytecodeStream::get_klass_index() const
7        3.9e-04  0              0  0              0  libjvm.so                ciKlass::java_mirror()
7        3.9e-04  0              0  0              0  libjvm.so                ciMethod::is_unboxing_method() const
7        3.9e-04  1         0.0012  0              0  libjvm.so                ciMethod::return_profiled_type(int)
7        3.9e-04  0              0  0              0  libjvm.so                ciMethod::should_print_assembly()
7        3.9e-04  0              0  0              0  libjvm.so                ciMethodData::set_compilation_stats(short, short)
7        3.9e-04  0              0  0              0  libjvm.so                compI_rRegNode::rule() const
7        3.9e-04  0              0  0              0  libjvm.so                compN_rReg_imm_klassNode::out_RegMask() const
7        3.9e-04  0              0  0              0  libjvm.so                compP_mem_rRegNode::emit(CodeBuffer&, PhaseRegAlloc*) const
7        3.9e-04  0              0  0              0  libjvm.so                decodeHeapOop_not_nullNode::ideal_Opcode() const
7        3.9e-04  0              0  0              0  libjvm.so                encodeHeapOop_not_nullNode::rule() const
7        3.9e-04  0              0  0              0  libjvm.so                external_word_Relocation::type()
7        3.9e-04  0              0  0              0  libjvm.so                immPOper::constant_reloc() const
7        3.9e-04  0              0  0              0  libjvm.so                incI_rRegNode::rule() const
7        3.9e-04  0              0  0              0  libjvm.so                jio_vsnprintf
7        3.9e-04  0              0  0              0  libjvm.so                loadConI0Node::bottom_type() const
7        3.9e-04  0              0  0              0  libjvm.so                loadNKlassNode::oper_input_base() const
7        3.9e-04  0              0  0              0  libjvm.so                loadPNode::oper_input_base() const
7        3.9e-04  0              0  0              0  libjvm.so                nmethod::copy_values(GrowableArray<Metadata*>*)
7        3.9e-04  2         0.0024  0              0  libjvm.so                nmethod::total_size() const
7        3.9e-04  1         0.0012  0              0  libjvm.so                oopFactory::new_typeArray(BasicType, int, Thread*)
7        3.9e-04  0              0  0              0  libjvm.so                opt_virtual_call_Relocation::type()
7        3.9e-04  0              0  0              0  libjvm.so                os::malloc(unsigned long, MemoryType)
7        3.9e-04  0              0  0              0  libjvm.so                prefetchAllocNTANode::emit(CodeBuffer&, PhaseRegAlloc*) const
7        3.9e-04  0              0  0              0  libjvm.so                rFlagsRegOper::in_RegMask(int) const
7        3.9e-04  0              0  0              0  libjvm.so                testI_regNode::out_RegMask() const
7        3.9e-04  1         0.0012  0              0  libjvm.so                testN_regNode::ideal_Opcode() const
7        3.9e-04  0              0  0              0  libpthread-2.12.so       funlockfile
7        3.9e-04  0              0  0              0  vmlinux                  __cleanup_signal
7        3.9e-04  0              0  1         0.0023  vmlinux                  amd_iommu_attach_device
7        3.9e-04  0              0  0              0  vmlinux                  copy_user_huge_page
7        3.9e-04  0              0  0              0  vmlinux                  dma_pool_create
7        3.9e-04  0              0  0              0  vmlinux                  filter_current_check_discard
7        3.9e-04  0              0  0              0  vmlinux                  free_vm_area
7        3.9e-04  1         0.0012  0              0  vmlinux                  ftrace_raw_unreg_event_module_free
7        3.9e-04  0              0  0              0  vmlinux                  init_enter__set_mempolicy
7        3.9e-04  1         0.0012  0              0  vmlinux                  prof_sysenter_disable__pause
7        3.9e-04  0              0  0              0  vmlinux                  read_boot_clock
7        3.9e-04  1         0.0012  0              0  vmlinux                  seq_write
7        3.9e-04  1         0.0012  0              0  vmlinux                  sys_clock_gettime
7        3.9e-04  0              0  0              0  vmlinux                  sys_timer_gettime
7        3.9e-04  0              0  0              0  vmlinux                  truncate_inode_page
7        3.9e-04  1         0.0012  0              0  vmlinux                  unmap_mapping_range
7        3.9e-04  1         0.0012  0              0  vmlinux                  vm_events_fold_cpu
6        3.3e-04  0              0  0              0  libc-2.12.so             write
6        3.3e-04  0              0  0              0  libjvm.so                AbstractAssembler::start_a_stub(int)
6        3.3e-04  2         0.0024  0              0  libjvm.so                AbstractCompiler::can_compile_method(methodHandle)
6        3.3e-04  0              0  0              0  libjvm.so                AccessField::input_values_do(ValueVisitor*)
6        3.3e-04  0              0  0              0  libjvm.so                AddLNode::Ideal(PhaseGVN*, bool)
6        3.3e-04  0              0  0              0  libjvm.so                AddLNode::add_ring(Type const*, Type const*) const
6        3.3e-04  2         0.0024  0              0  libjvm.so                AllocateNode::Opcode() const
6        3.3e-04  0              0  0              0  libjvm.so                AllocationContextService::should_notify()
6        3.3e-04  0              0  0              0  libjvm.so                AndINode::Opcode() const
6        3.3e-04  1         0.0012  0              0  libjvm.so                AndLNode::Ideal(PhaseGVN*, bool)
6        3.3e-04  0              0  1         0.0023  libjvm.so                AndLNode::Identity(PhaseTransform*)
6        3.3e-04  0              0  0              0  libjvm.so                AndLNode::mul_ring(Type const*, Type const*) const
6        3.3e-04  0              0  0              0  libjvm.so                Assembler::shrq(RegisterImpl*, int)
6        3.3e-04  0              0  0              0  libjvm.so                Block_Array::map(unsigned int, Block*)
6        3.3e-04  0              0  0              0  libjvm.so                CallDynamicJavaNode::Opcode() const
6        3.3e-04  1         0.0012  0              0  libjvm.so                CallGenerator::is_string_late_inline() const
6        3.3e-04  0              0  0              0  libjvm.so                CallNode::Identity(PhaseTransform*)
6        3.3e-04  0              0  0              0  libjvm.so                CheckCastPPNode::Ideal(PhaseGVN*, bool)
6        3.3e-04  1         0.0012  0              0  libjvm.so                ClassFileParser::parse_fields(Symbol*, bool, FieldAllocationCount*, unsigned short*, Thread*)
6        3.3e-04  0              0  0              0  libjvm.so                ClearArrayNode::Opcode() const
6        3.3e-04  0              0  0              0  libjvm.so                CodeBuffer::copy_code_to(CodeBlob*)
6        3.3e-04  0              0  2         0.0046  libjvm.so                CodeBuffer::free_blob()
6        3.3e-04  0              0  0              0  libjvm.so                CodeHeap::header_size()
6        3.3e-04  0              0  0              0  libjvm.so                Compilation::emit_code_epilog(LIR_Assembler*)
6        3.3e-04  0              0  0              0  libjvm.so                Compile::TracePhase::TracePhase(char const*, elapsedTimer*, bool)
6        3.3e-04  0              0  0              0  libjvm.so                CompileBroker::compilation_is_prohibited(methodHandle, int, int)
6        3.3e-04  1         0.0012  0              0  libjvm.so                ConnectionGraph::add_objload_to_connection_graph(Node*, Unique_Node_List*)
6        3.3e-04  0              0  0              0  libjvm.so                Constant::can_trap() const
6        3.3e-04  0              0  0              0  libjvm.so                ConstantPool::impl_name_and_type_ref_index_at(int, bool)
6        3.3e-04  0              0  0              0  libjvm.so                CounterOverflowStub::visit(LIR_OpVisitState*)
6        3.3e-04  0              0  1         0.0023  libjvm.so                Dependencies::find_unique_concrete_method(Klass*, Method*)
6        3.3e-04  0              0  0              0  libjvm.so                EncodeNarrowPtrNode::EncodeNarrowPtrNode(Node*, Type const*)
6        3.3e-04  0              0  0              0  libjvm.so                ExceptionHandlerTable::ExceptionHandlerTable(int)
6        3.3e-04  0              0  0              0  libjvm.so                FrameMap::finalize_frame(int)
6        3.3e-04  1         0.0012  0              0  libjvm.so                GenCollectedHeap::do_collection(bool, bool, unsigned long, bool, int)
6        3.3e-04  0              0  0              0  libjvm.so                GenerateOopMap::do_exception_edge(BytecodeStream*)
6        3.3e-04  0              0  0              0  libjvm.so                GenerateOopMap::interp_bb(BasicBlock*)
6        3.3e-04  0              0  0              0  libjvm.so                GenerateOopMap::jump_targets_do(BytecodeStream*, void (*)(GenerateOopMap*, int, int*), int*)
6        3.3e-04  0              0  0              0  libjvm.so                GraphBuilder::round_fp(Instruction*)
6        3.3e-04  0              0  0              0  libjvm.so                GraphBuilder::try_inline_intrinsics(ciMethod*)
6        3.3e-04  0              0  0              0  libjvm.so                GraphKit::gen_instanceof(Node*, Node*, bool)
6        3.3e-04  0              0  1         0.0023  libjvm.so                GraphKit::replace_in_map(Node*, Node*)
6        3.3e-04  0              0  0              0  libjvm.so                GraphKit::set_arguments_for_java_call(CallJavaNode*)
6        3.3e-04  0              0  0              0  libjvm.so                GraphKit::static_subtype_check(ciKlass*, ciKlass*)
6        3.3e-04  1         0.0012  0              0  libjvm.so                IR::compute_use_counts()
6        3.3e-04  1         0.0012  0              0  libjvm.so                IR::split_critical_edges()
6        3.3e-04  1         0.0012  0              0  libjvm.so                IdealKit::clear(Node*)
6        3.3e-04  0              0  0              0  libjvm.so                IdealLoopTree::iteration_split_impl(PhaseIdealLoop*, Node_List&)
6        3.3e-04  1         0.0012  0              0  libjvm.so                IdealLoopTree::reassociate_invariants(PhaseIdealLoop*)
6        3.3e-04  0              0  0              0  libjvm.so                ImplicitNullCheckStub::emit_code(LIR_Assembler*)
6        3.3e-04  0              0  0              0  libjvm.so                InstanceKlass::array_klass_impl(bool, Thread*)
6        3.3e-04  0              0  0              0  libjvm.so                InstanceKlass::lookup_method_in_all_interfaces(Symbol*, Symbol*, Klass::MethodLookupMode) const
6        3.3e-04  0              0  0              0  libjvm.so                InstanceKlass::lookup_osr_nmethod(Method const*, int, int, bool) const
6        3.3e-04  0              0  0              0  libjvm.so                Instruction::other_values_do(ValueVisitor*)
6        3.3e-04  0              0  0              0  libjvm.so                IntType::base() const
6        3.3e-04  0              0  0              0  libjvm.so                JNIHandles::oops_do(OopClosure*)
6        3.3e-04  0              0  0              0  libjvm.so                Klass::search_secondary_supers(Klass*) const
6        3.3e-04  0              0  0              0  libjvm.so                LIRGenerator::do_Convert(Convert*)
6        3.3e-04  0              0  0              0  libjvm.so                LIRGenerator::do_NullCheck(NullCheck*)
6        3.3e-04  0              0  0              0  libjvm.so                LIRGenerator::do_StoreField(StoreField*)
6        3.3e-04  0              0  0              0  libjvm.so                LIRGenerator::generate_address(LIR_OprDesc*, LIR_OprDesc*, int, int, BasicType)
6        3.3e-04  0              0  0              0  libjvm.so                LIRGenerator::profile_branch(If*, Instruction::Condition)
6        3.3e-04  1         0.0012  0              0  libjvm.so                LIR_Assembler::cmove(LIR_Condition, LIR_OprDesc*, LIR_OprDesc*, LIR_OprDesc*, BasicType)
6        3.3e-04  0              0  0              0  libjvm.so                LIR_Assembler::store_parameter(RegisterImpl*, int)
6        3.3e-04  0              0  0              0  libjvm.so                LIR_Assembler::store_parameter(int, int)
6        3.3e-04  0              0  0              0  libjvm.so                LIR_List::cmp(LIR_Condition, LIR_OprDesc*, LIR_OprDesc*, CodeEmitInfo*)
6        3.3e-04  0              0  0              0  libjvm.so                LIR_OpBranch::LIR_OpBranch(LIR_Condition, BasicType, BlockBegin*)
6        3.3e-04  0              0  0              0  libjvm.so                LIR_OpLabel::emit_code(LIR_Assembler*)
6        3.3e-04  0              0  0              0  libjvm.so                LinearScan::LinearScan(IR*, LIRGenerator*, FrameMap*)
6        3.3e-04  0              0  0              0  libjvm.so                LinearScan::assign_reg_num()
6        3.3e-04  0              0  0              0  libjvm.so                LinkResolver::resolve_invokespecial(CallInfo&, constantPoolHandle, int, Thread*)
6        3.3e-04  0              0  0              0  libjvm.so                LoadField::as_LoadField()
6        3.3e-04  0              0  0              0  libjvm.so                LogicOp::visit(InstructionVisitor*)
6        3.3e-04  0              0  0              0  libjvm.so                MachOper::type() const
6        3.3e-04  0              0  0              0  libjvm.so                MacroAssembler::decrementq(RegisterImpl*, int)
6        3.3e-04  0              0  0              0  libjvm.so                MacroAssembler::incrementq(RegisterImpl*, int)
6        3.3e-04  0              0  0              0  libjvm.so                MacroAssembler::int3()
6        3.3e-04  0              0  0              0  libjvm.so                MacroAssembler::jump(AddressLiteral)
6        3.3e-04  0              0  0              0  libjvm.so                MacroAssembler::movptr(RegisterImpl*, Address)
6        3.3e-04  0              0  0              0  libjvm.so                MacroAssembler::testl(RegisterImpl*, AddressLiteral)
6        3.3e-04  1         0.0012  0              0  libjvm.so                MacroAssembler::tlab_allocate(RegisterImpl*, RegisterImpl*, int, RegisterImpl*, RegisterImpl*, Label&)
6        3.3e-04  0              0  0              0  libjvm.so                Matcher::Matcher()
6        3.3e-04  1         0.0012  1         0.0023  libjvm.so                MemBarNode::MemBarNode(Compile*, int, Node*)
6        3.3e-04  0              0  0              0  libjvm.so                MemBarNode::hash() const
6        3.3e-04  1         0.0012  0              0  libjvm.so                MemBarReleaseLockNode::Opcode() const
6        3.3e-04  0              0  0              0  libjvm.so                MemBarStoreStoreNode::Opcode() const
6        3.3e-04  1         0.0012  0              0  libjvm.so                MemoryPool::record_peak_memory_usage()
6        3.3e-04  0              0  0              0  libjvm.so                Metachunk::allocate(unsigned long)
6        3.3e-04  0              0  0              0  libjvm.so                Metachunk::object_alignment()
6        3.3e-04  0              0  0              0  libjvm.so                Method::build_interpreter_method_data(methodHandle, Thread*)
6        3.3e-04  0              0  0              0  libjvm.so                Method::highest_osr_comp_level() const
6        3.3e-04  0              0  0              0  libjvm.so                Method::set_code(methodHandle, nmethod*)
6        3.3e-04  0              0  0              0  libjvm.so                MethodData::profile_arguments_for_invoke(methodHandle, int)
6        3.3e-04  0              0  0              0  libjvm.so                NativeInstruction::wrote(int)
6        3.3e-04  0              0  0              0  libjvm.so                ObjectValue::write_on(DebugInfoWriteStream*)
6        3.3e-04  3         0.0036  0              0  libjvm.so                OopFlow::make(Arena*, int, Compile*)
6        3.3e-04  0              0  0              0  libjvm.so                OopMap::OopMap(int, int)
6        3.3e-04  0              0  0              0  libjvm.so                PCTableNode::Ideal(PhaseGVN*, bool)
6        3.3e-04  1         0.0012  0              0  libjvm.so                Parse::Block::local_type_at(int) const
6        3.3e-04  1         0.0012  0              0  libjvm.so                Parse::array_addressing(BasicType, int, Type const**)
6        3.3e-04  0              0  0              0  libjvm.so                Parse::do_method_entry()
6        3.3e-04  0              0  0              0  libjvm.so                PatchingStub::emit_code(LIR_Assembler*)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseIdealLoop::dominated_by(Node*, Node*, bool, bool)
6        3.3e-04  1         0.0012  0              0  libjvm.so                PhaseIdealLoop::find_predicate(Node*)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseIdealLoop::insert_pre_post_loops(IdealLoopTree*, Node_List&, bool)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseIdealLoop::intrinsify_fill(IdealLoopTree*)
6        3.3e-04  1         0.0012  0              0  libjvm.so                PhaseIdealLoop::is_counted_loop(Node*, IdealLoopTree*)
6        3.3e-04  1         0.0012  0              0  libjvm.so                PhaseIdealLoop::register_new_node(Node*, Node*)
6        3.3e-04  1         0.0012  0              0  libjvm.so                PhaseIdealLoop::reorg_offsets(IdealLoopTree*)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseIdealLoop::scheduled_nodelist(IdealLoopTree*, VectorSet&, Node_List&)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseIdealLoop::set_idom(Node*, Node*, unsigned int)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseTransform::set_type(Node const*, Type const*)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseTransform::set_type_bottom(Node const*)
6        3.3e-04  0              0  0              0  libjvm.so                PhaseValues::saturate(Type const*, Type const*, Type const*) const
6        3.3e-04  0              0  0              0  libjvm.so                Pipeline::functional_unit_latency(unsigned int, Pipeline const*) const
6        3.3e-04  0              0  0              0  libjvm.so                RShiftINode::Ideal(PhaseGVN*, bool)
6        3.3e-04  0              0  0              0  libjvm.so                ScopeValue::read_from(DebugInfoReadStream*)
6        3.3e-04  0              0  0              0  libjvm.so                SharedRuntime::c_calling_convention(BasicType const*, VMRegPair*, VMRegPair*, int)
6        3.3e-04  0              0  0              0  libjvm.so                SharedRuntime::reresolve_call_site(JavaThread*, Thread*)
6        3.3e-04  0              0  1         0.0023  libjvm.so                SimpleThresholdPolicy::compile(methodHandle, int, CompLevel, JavaThread*)
6        3.3e-04  0              0  1         0.0023  libjvm.so                StartNode::match(ProjNode const*, Matcher const*)
6        3.3e-04  0              0  0              0  libjvm.so                State::_sub_Op_Binary(Node const*)
6        3.3e-04  0              0  0              0  libjvm.so                State::_sub_Op_CMoveI(Node const*)
6        3.3e-04  0              0  0              0  libjvm.so                State::_sub_Op_CmpP(Node const*)
6        3.3e-04  0              0  0              0  libjvm.so                State::_sub_Op_OrI(Node const*)
6        3.3e-04  0              0  1         0.0023  libjvm.so                State::_sub_Op_OrL(Node const*)
6        3.3e-04  0              0  0              0  libjvm.so                Trace::insert_after(Block*, Trace*)
6        3.3e-04  0              0  0              0  libjvm.so                Type::narrow(Type const*) const
6        3.3e-04  0              0  0              0  libjvm.so                TypeInt::empty() const
6        3.3e-04  0              0  1         0.0023  libjvm.so                TypeLong::make(long)
6        3.3e-04  1         0.0012  0              0  libjvm.so                TypeNarrowOop::remove_speculative() const
6        3.3e-04  0              0  0              0  libjvm.so                URShiftINode::Value(PhaseTransform*) const
6        3.3e-04  1         0.0012  0              0  libjvm.so                ValueNumberingVisitor::do_Invoke(Invoke*)
6        3.3e-04  0              0  0              0  libjvm.so                ValueNumberingVisitor::do_NullCheck(NullCheck*)
6        3.3e-04  0              0  0              0  libjvm.so                ValueStack::pop_arguments(int)
6        3.3e-04  2         0.0024  0              0  libjvm.so                VectorSet::Clear()
6        3.3e-04  0              0  0              0  libjvm.so                acs_CopyRight
6        3.3e-04  0              0  2         0.0046  libjvm.so                andL_rReg_immNode::out_RegMask() const
6        3.3e-04  0              0  0              0  libjvm.so                any_RegPOper::in_RegMask(int) const
6        3.3e-04  0              0  0              0  libjvm.so                bool ciMethod::has_option_value<unsigned long>(char const*, unsigned long&)
6        3.3e-04  0              0  0              0  libjvm.so                ciBaseObject::is_object() const
6        3.3e-04  0              0  0              0  libjvm.so                ciBytecodeStream::get_index_u2(bool) const
6        3.3e-04  0              0  0              0  libjvm.so                ciEnv::num_inlined_bytecodes() const
6        3.3e-04  0              0  1         0.0023  libjvm.so                ciMethodData::ciMethodData()
6        3.3e-04  0              0  0              0  libjvm.so                ciTypeFlow::StateVector::store_local_object(int)
6        3.3e-04  0              0  0              0  libjvm.so                cmpOpUOper::ccode() const
6        3.3e-04  1         0.0012  1         0.0023  libjvm.so                encodeHeapOop_not_nullNode::oper_input_base() const
6        3.3e-04  0              0  0              0  libjvm.so                indIndexOper::num_edges() const
6        3.3e-04  0              0  0              0  libjvm.so                indOffset8NarrowOper::disp(PhaseRegAlloc*, Node const*, int) const
6        3.3e-04  0              0  0              0  libjvm.so                indOffset8Oper::disp(PhaseRegAlloc*, Node const*, int) const
6        3.3e-04  0              0  0              0  libjvm.so                loadConP0Node::rule() const
6        3.3e-04  0              0  0              0  libjvm.so                loadConUL32Node::rule() const
6        3.3e-04  1         0.0012  1         0.0023  libjvm.so                loadINode::ideal_Opcode() const
6        3.3e-04  1         0.0012  0              0  libjvm.so                loadNNode::out_RegMask() const
6        3.3e-04  0              0  0              0  libjvm.so                loadPNode::out_RegMask() const
6        3.3e-04  0              0  0              0  libjvm.so                nmethod::log_state_change() const
6        3.3e-04  1         0.0012  0              0  libjvm.so                oop_Relocation::verify_oop_relocation()
